nepali_name,roman_name,english_context,phonetic,did_you_know
भुसी सेकुवा,Buff Sekuwa,smoky buffalo cubes basted with clarified fat,bhoo-see say-koo-wah,Butchers reserve thigh meat for the perfect chew.
मटन सेकुवा,Mutton Sekuwa,slow-grilled goat with Himalayan rock salt,ma-tun say-koo-wah,"Goats graze on wild thyme, adding natural aroma."
चिकेन थुक्पा,Chicken Thukpa,noodle soup crowned with pulled chicken,chi-ken thook-pah,Noodles are hand pulled to order in mountain huts.
भेज थुक्पा,Veg Thukpa,ginger-garlic vegetable broth with flat noodles,bhayj thook-pah,"Carry a metal bowl, vendors refill for half price."
चिकेन चाउमिन,Chicken Chowmein,wok-tossed noodles with chicken & crunchy veg,chi-ken chow-main,Must be flamed over fierce wok fire for ‘phuchhar’ texture.
भेज चाउमिन,Veg Chowmein,street-style noodles flash-fried with seasonal veg,bhayj chow-main,Sold in newspaper cones for 50 rupees outside schools.
भुसी चाउमिन,Buff Chowmein,noodles tossed with spicy shredded buffalo,bhoo-see chow-main,Buffalo is pre boiled in turmeric to soften fibres.
चिकेन फ्राइड राइस,Chicken Fried Rice,light soy rice with chicken & spring onion,chi-ken fryd rise,Day old rice gives the perfect non sticky grain.
भेज फ्राइड राइस,Veg Fried Rice,golden rice with mixed veg & cumin,bhayj fryd rise,Cumin seeds popped in hot ghee before rice hits the pan.
भुसी फ्राइड राइस,Buff Fried Rice,rice stir-fried with buffalo & pickled chili,bhoo-see fryd rise,Pickled chili adds tang that cuts the rich meat.
दाल फ्राइ,Dal Fry,tempered lentils sizzled with garlic & cumin,daal fry,Garlic is browned till crisp for smoky top notes.
जिरा आलु,Jeera Aalu,potato cubes kissed with cumin & green chili,jee-rah ah-loo,Cumin is dry roasted for nutty aroma.
मिक्स भेज तरकारी,Mix Veg,seasonal vegetables in light turmeric gravy,miks bhayj tarkari,Whatever the farmer brings that morning goes in.
चिकेन तरकारी,Chicken Curry,onion-tomato chicken curry with whole spices,chi-ken tarkari,Cardamom pods cracked open just before cooking.
भुसी तरकारी,Buff Curry,slow-cooked buffalo with bay leaves & cloves,bhoo-see tarkari,Buffalo simmers three hours till fork tender.
मटन तरकारी,Mutton Curry,aromatic goat curry with mountain cardamom,ma-tun tarkari,Goat bones add marrow richness to the gravy.
अण्डा तरकारी,Anda Curry,hard-boiled eggs in spicy tomato gravy,ahn-dah tarkari,Eggs are shallow fried first for crinkled edges.
सादा दाल भात,Plain Dal Bhat,simple rice & lentil comfort plate,sah-dah daal baat,Eaten twice a day by most Nepali households.
चिकेन दाल भात सेट,Chicken Dal Bhat,dal bhat plus chicken curry & pickle,chi-ken daal baat set,Restaurant upgrade of the home classic.
भुसी दाल भात सेट,Buff Dal Bhat,rice with buffalo curry & leafy side,bhoo-see daal baat set,"Buffalo portion is generous, usually around 200 g."
साग तरकारी,Saag Tarkari,soft leafy greens sautéed with garlic,sahg tarkari,"Mustard greens preferred in winter, nettle in spring."
गुन्द्रुक झोल,Gundruk Jhol,thin fermented greens broth,goon-drook jhol,Served piping hot to fight mountain chill.
गुन्द्रुक सँधेको,Gundruk Sadheko,dry gundruk mixed with chili & mustard oil,goon-drook sahn-deh-ko,Keeps for a week without refrigeration.
भटमास सँधेको,Bhatmas Sadheko,boiled soybeans tossed with onion & chili,bhat-mahs sahn-deh-ko,Cheap protein hit for trekkers.
आलु सँधेको,Aloo Sadheko,spicy potato salad with lemon & cilantro,ah-loo sahn-deh-ko,Sold in plastic pouches for 20 rupees.
चिकेन पकौडा,Chicken Pakoda,crispy chickpea-battered chicken fritters,chi-ken pah-kow-dah,Best straight from the kadai while still crackling.
भेज पकौडा,Veg Pakoda,mixed vegetable fritters with chilli dip,bhayj pah-kow-dah,Spinach leaf added for extra crunch.
पनीर चोइला,Paneer Choila,grilled paneer cubes in spicy mustard dressing,pah-neer choi-lah,Vegetarian answer to the meat original.
सादा सेल रोटी,Plain Sel Roti,"plain rice-flour rings, deep-fried golden",sah-dah sel ro-tee,Crack it open to hear the signature ‘tick’ sound!
जुजु धौ,Juju Dhau,"king of yoghurts, thick & custard-like",joo-joo dhau,Made in clay pots that naturally absorb whey.
खीर (नेपाली स्टाइल),Kheer Nepali Style,cardamom rice pudding with raisins,kheer,First spoon offered to household gods before humans.
चटपटे,Chatpate,puffed-rice street snack with chilli & lemon,chat-pat-eh,"Vendors mix it with bare hands, gloves are rare!"
पानी पुरी,Pani Puri,hollow crisps filled with spiced tamarind water,paa-nee poo-ree,Eat in one bite or wear the water!
समोसा,Samosa,deep-fried pyramid stuffed with spiced potato,sa-mo-saah,"Arrived via India, but Nepal added a green pea twist."
आलु चोप,Aalu Chop,mashed-potato patty coated in gram flour,ah-loo chop,Double dip in chutney for full flavour.
चाउ चाउ सँधेको,Chow Chow Sadheko,boiled instant noodles with raw veggies,chow chow sahn-deh-ko,Wai Wai noodles straight from the plastic wrapper.
वाइवाइ सँधेको,Wai Wai Sadheko,crunchy dry noodle salad with chili,why-why sahn-deh-ko,Kids eat it uncooked as a crunchy snack.
मकै सँधेको,Makai Sadheko,steamed corn kernels with lime & chili,ma-kai sahn-deh-ko,Monsoon favourite when corn is sweetest.
भुटेको मकै,Bhuteko Makai,charcoal-roasted corn on the cob,bhoo-teh-ko ma-kai,"Rub with lime, chili and salt mix while still hot."
अण्डा फ्राइ,Anda Fry,fried eggs sunny-side up with onion & chili,ahn-dah fry,Street version uses two eggs for 60 rupees.
ओमलेट नेपाली स्टाइल,Nepali Omelette,eggs beaten with green chili & coriander,ohm-let,Cooked in mustard oil for a pungent kick.
चिउरा,Chiura,beaten rice eaten with curry or yogurt,chee-oo-rah,Lightweight carb that swells in your mouth.
दही चिउरा,Dahi Chiura,beaten rice soaked in sweetened yoghurt,dah-hee chee-oo-rah,Quick breakfast before catching the early bus.
मासु भात,Masu Bhat,rice topped with generous meat curry,mah-soo bhaat,Butchers give extra gravy if you ask nicely.
आलु भुजिया,Aloo Bhujiya,thin potato straws stir-fried with cumin,ah-loo bhoo-jee-yah,Crispy edges are the prize bits.
बन्दा तरकारी,Cabbage Curry,shredded cabbage sautéed with turmeric,ban-dah tarkari,Cooks add a pinch of sugar to balance the pepper.
फूलगोभी तरकारी,Cauli Tarkari,cauliflower & potato in light gravy,fool-go-bhee tarkari,Florets kept big so they don’t dissolve.
फर्सी तरकारी,Farsi Tarkari,soft pumpkin cubes with fenugreek,far-see tarkari,Sweetness of pumpkin means less sugar in curry.
भिण्डी तरकारी,Bhindi Tarkari,okra stir-fried till slime disappears,bhin-dee tarkari,Lemon slice at the end keeps it bright.
करेला तरकारी,Karela Tarkari,bitter gourd slices pre-soaked in salt,kah-reh-lah tarkari,Salt soak removes half the bitterness.
अण्डा तरकारी (सुक्खा),Anda Tarkari Dry,eggs in thick spicy coating,ahn-dah tarkari,Yolks stay creamy while whites grab the spice.
चिकेन सूप,Chicken Soup,clear ginger-garlic chicken broth,chi-ken soop,Given to new mums for strength after childbirth.
भेज सूप,Veg Soup,mixed vegetable clear soup,bhayj soop,Tomato base gives tang without lemons.
आलु मटर तरकारी,Aloo Matar,potato & pea curry in tomato base,ah-loo matar,"Frozen peas work, but fresh pods taste sweeter."
सोयाबीन तरकारी,Soybean Tarkari,rehydrated soybeans simmered with spices,soy-bean tarkari,Cheap protein that doubles in size when soaked.
चना तरकारी,Chana Tarkari,chickpeas slow-cooked until buttery,chah-nah tarkari,Overnight soak cuts cooking time by half.
चना सँधेको,Chana Sadheko,cold chickpea salad with raw onions,chah-nah sahn-deh-ko,Lemon juice keeps it fresh without a fridge.
मुला सँधेको,Mula Sadheko,julienned radish with chilli & mustard oil,moo-lah sahn-deh-ko,Radish juice mixes with oil to make pink dressing.
कक्रो सँधेको,Kakro Sadheko,cucumber coins with timur pepper,kak-ro sahn-deh-ko,Timur leaves make the tongue tingle like Sichuan pepper.
तमाटर अचार,Tamatar Achar,chunky tomato pickle with fenugreek,tah-mah-tar ah-char,Sun dried tomatoes give deeper flavour.
डल्ले खुर्सानी अचार,Dalle Khursani Achar,pickled fireball chillies,dahl-leh khur-sah-nee,"One chilli per plate rule, break at your own risk!"
मसला चिया,Masala Chiya,milk tea boiled with cardamom & ginger,mah-sah-lah chee-yah,"Two boils, no more, no less, for the perfect pink."
दूध चिया,Milk Tea,strong black tea with milk & sugar,doodh chee-yah,"Served in tiny glasses, refills until you say stop."
कालो चिया,Black Tea,"plain brewed tea, no milk",kah-lo chee-yah,"Mountain folk drink it with salt, not sugar."
लस्सी,Lassi,"yogurt drink, sweet or salted",las-see,Salted version cools you faster in summer heat.
प्लेन रोटी,Plain Roti,whole-wheat flatbread cooked on iron pan,plain ro-tee,"Best ripped, not cut, to scoop the curry."
आलु पराठा,Aloo Paratha,potato-stuffed whole-wheat bread,ah-loo pah-rah-thah,Butter cube placed on top melts into rivers.
प्लेन भात,Plain Rice,steamed white rice,plain bhaat,Finger molded into little hills before dipping.
मसला पपड,Masala Papad,crispy lentil wafer topped with salad,mah-sah-lah pah-pad,Roast over flame seconds before serving.
भुटेको पपड,Fried Papad,deep-fried lentil disc,bhoo-teh-ko pah-pad,Puffs up like a balloon in hot oil!
चतामरी सँधेको,Chatamari Sadheko,diced rice crepe mixed with spices,cha-tah-mree sahn-deh-ko,Left over breakfast crepe becomes evening snack.
फापर को रोटी,Fapar Roti,"buckwheat flatbread, dark & nutty",fah-par ro-tee,Buckwheat keeps farmers warm in high altitudes.
सिस्नु तरकारी,Sisnu Tarkari,"stinging-nettle curry, gloves required",sis-noo tarkari,"Sting disappears after the first boil, promise!"
आलु बोडी तरकारी,Aloo Bodi Tarkari,home-style potato & bean curry,ah-loo bo-dee tarkari,Cooks faster if beans are pre soaked overnight.
पुहाँ,Puwa,sweet fried wheat squares,poo-wah,"Offered to gods first, then shared with family."
तरकारी मम,Tarkari Momo,veg-packed steamed dumplings for plant lovers,tarkari MOH-moh,Potato stuffing stays creamy because it’s pre mashed.
चिकेन मम,Chicken Momo,classic juicy momo with minced chicken,chi-ken MOH-moh,Minced thigh meat keeps them extra moist.
चिली मम,Chili Momo,deep-fried momo tossed in sweet-spicy sauce,chill-ee MOH-moh,Born in Kathmandu college canteens in the 90s.
क्वा,Kwa,traditional Newari hot-and-sour meat soup,kwah,Served in tiny brass bowls during festivals to warm guests.
सुकुटी को अचार,Sukuti Achar,shredded jerky pickle with chili & lime,soo-koo-tee ah-char,Backpackers carry it as a high protein trail snack.
भुटन,Bhutan,crispy fried goat/buff intestines with spices,bhoot-an,Texture lovers fight over the crunchy edges.
तेल पिए,Tel Piye,Newari ritual of sipping warm mustard oil for health,tel pee-yeh,"Only a teaspoon, more is a fast track to the bathroom!"
पुष्पुरा,Pusphura,sweet rice-flour pancakes stuffed with molasses,poosh-poo-rah,Made only on Nag Panchami to feed snakes symbolically.
लप्सी,Lapsi,tart Nepali hog-plum candy or pickle,lap-see,Kids stain their tongues orange chewing the dried fruit.
सिलाम,Silam,fermented soybean stick from eastern hills,see-lam,Hang above the hearth till it turns jet black.
चामलको ढिँडो,Chamalko Dhido,white rice-flour porridge for soft texture,chah-mahl-ko dhin-doh,Easier to swallow when sick with mountain cough.
सिमीको दाल,Simi Dal,curried kidney beans with bamboo shoot,see-mee daal,A hill station staple that cooks all day on low heat.
मासको दाल,Maas Dal,black lentil curry finished with butter,mahs daal,Butter is added right at the end for glossy shine.
आलु सिमी,Aloo Simi,potato & kidney bean stew,ah-loo see-mee,Beans soaked overnight so they don’t bite back.
काउली मम,Cauli Momo,dumplings stuffed with spiced cauliflower,cow-lee MOH-moh,Cauliflower is pre blanched to remove raw smell.
आँप अचार,Aap Ko Achar,ripe mango pickle sweet-and-sour,ahp -ko-char,Summer jars disappear fast because kids eat it like jam.
मेथी आलु,Methi Aalu,potato cubes with fresh fenugreek leaves,meh-thee ah-loo,Bitter fenugreek balances sweet potato edges.
खुर्सानीको धुलो,Khursani Dhulo,sun-dried chilli powder ground at home,khur-sah-nee dhoo-loh,"One pinch lights up any curry, use gloves when handling!"
